,Ingredient,Trade_Name,Price
0,BUDESONIDE,UCERIS,30
1,MINOCYCLINE HYDROCHLORIDE,AMZEEQ,19
2,BETAMETHASONE VALERATE,BETAMETHASONE VALERATE,18
5,CLINDAMYCIN PHOSPHATE,CLINDAMYCIN PHOSPHATE,15
7,CLOBETASOL PROPIONATE,CLOBETASOL PROPIONATE,26
13,ECONAZOLE NITRATE,ECOZA,25
14,BETAMETHASONE DIPROPIONATE; CALCIPOTRIENE,ENSTILAR,23
15,CLINDAMYCIN PHOSPHATE,EVOCLIN,26
16,KETOCONAZOLE,EXTINA,24
17,TAZAROTENE,FABIOR,14
18,AZELAIC ACID,FINACEA,1
19,KETOCONAZOLE,KETOCONAZOLE,11
20,HALOBETASOL PROPIONATE,LEXETTE,21
21,BETAMETHASONE VALERATE,LUXIQ,2
22,MINOXIDIL,MEN'S ROGAINE,17
23,MINOXIDIL,MINOXIDIL,4
24,MINOXIDIL,MINOXIDIL (FOR MEN),14
26,MINOXIDIL,MINOXIDIL (FOR WOMEN),7
28,CLOBETASOL PROPIONATE,OLUX,21
29,CLOBETASOL PROPIONATE,OLUX E,19
30,CALCIPOTRIENE,SORILUX,26
31,DESONIDE,VERDESO,24
32,MINOXIDIL,WOMEN'S ROGAINE,2
33,FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE,ADVAIR HFA,29
36,FLUNISOLIDE,AEROBID,9
37,FLUNISOLIDE,AEROSPAN HFA,12
38,ALBUTEROL,ALBUTEROL,21
42,ALBUTEROL SULFATE,ALBUTEROL SULFATE,26
44,METAPROTERENOL SULFATE,ALUPENT,2
45,CICLESONIDE,ALVESCO,25
47,MOMETASONE FUROATE,ASMANEX HFA,2
50,ATROPINE SULFATE,ATROPINE SULFATE,27
51,IPRATROPIUM BROMIDE,ATROVENT,26
52,IPRATROPIUM BROMIDE,ATROVENT HFA,16
53,TRIAMCINOLONE ACETONIDE,AZMACORT,14
54,BECLOMETHASONE DIPROPIONATE,BECLOVENT,22
55,FORMOTEROL FUMARATE; GLYCOPYRROLATE,BEVESPI AEROSPHERE,5
56,TERBUTALINE SULFATE,BRETHAIRE,3
57,TERBUTALINE SULFATE,BRICANYL,29
58,SODIUM CHLORIDE,BRONCHO SALINE,27
59,EPINEPHRINE BITARTRATE,BRONITIN MIST,8
60,EPINEPHRINE,BRONKAID MIST,16
61,ISOETHARINE MESYLATE,BRONKOMETER,11
62,ALBUTEROL SULFATE; IPRATROPIUM BROMIDE,COMBIVENT,9
63,DEXAMETHASONE SODIUM PHOSPHATE,DEXACORT,14
64,FORMOTEROL FUMARATE; MOMETASONE FUROATE,DULERA,4
67,ISOPROTERENOL HYDROCHLORIDE; PHENYLEPHRINE BITARTRATE,DUO-MEDIHALER,10
68,EPINEPHRINE,EPINEPHRINE,24
69,FLUTICASONE PROPIONATE,FLOVENT,7
72,FLUTICASONE PROPIONATE,FLOVENT HFA,23
75,CROMOLYN SODIUM,INTAL,19
76,ISOETHARINE MESYLATE,ISOETHARINE MESYLATE,5
77,ISOPROTERENOL HYDROCHLORIDE,ISOPROTERENOL HYDROCHLORIDE,8
79,ISOPROTERENOL HYDROCHLORIDE,ISUPREL,16
80,PIRBUTEROL ACETATE,MAXAIR,5
82,ERGOTAMINE TARTRATE,MEDIHALER ERGOTAMINE,27
83,EPINEPHRINE BITARTRATE,MEDIHALER-EPI,28
84,ISOPROTERENOL SULFATE,MEDIHALER-ISO,26
85,EPINEPHRINE,PRIMATENE MIST,23
87,ALBUTEROL SULFATE,PROAIR HFA,3
88,ALBUTEROL,PROVENTIL,17
89,ALBUTEROL SULFATE,PROVENTIL-HFA,27
90,BECLOMETHASONE DIPROPIONATE,QVAR 40,6
91,BECLOMETHASONE DIPROPIONATE,QVAR 80,25
92,BECLOMETHASONE DIPROPIONATE,QVAR REDIHALER,5
94,SALMETEROL XINAFOATE,SEREVENT,9
95,BUDESONIDE; FORMOTEROL FUMARATE DIHYDRATE,SYMBICORT,16
97,NEDOCROMIL SODIUM,TILADE,25
98,BITOLTEROL MESYLATE,TORNALATE,14
99,BECLOMETHASONE DIPROPIONATE,VANCERIL,9
100,BECLOMETHASONE DIPROPIONATE,VANCERIL DOUBLE STRENGTH,4
101,ALBUTEROL,VENTOLIN,15
102,ALBUTEROL SULFATE,VENTOLIN HFA,13
103,LEVALBUTEROL TARTRATE,XOPENEX HFA,9
104,BECLOMETHASONE DIPROPIONATE,BECONASE,11
105,TRIAMCINOLONE ACETONIDE,NASACORT,22
106,BECLOMETHASONE DIPROPIONATE,QNASL,17
108,BUDESONIDE,RHINOCORT,29
109,BECLOMETHASONE DIPROPIONATE,VANCENASE,15
110,CICLESONIDE,ZETONNA,11
111,HYDROCORTISONE ACETATE,CORTIFOAM,7
112,NITROGLYCERIN,NITROMIST,9
113,HYDROCORTISONE ACETATE; PRAMOXINE HYDROCHLORIDE,EPIFOAM,10
114,CHLORHEXIDINE GLUCONATE,EXIDINE,18
115,HYDROCORTISONE ACETATE; PRAMOXINE HYDROCHLORIDE,HYDROCORTISONE ACETATE 1% AND PRAMOXINE HYDROCHLORIDE 1%,20
116,HYDROCORTISONE ACETATE; PRAMOXINE HYDROCHLORIDE,PROCTOFOAM HC,11
117,TALC,SCLEROSOL,11
119,LIDOCAINE,XYLOCAINE,28
120,NITROGLYCERIN,NITROLINGUAL,22
121,DEXAMETHASONE,AEROSEB-DEX,6
122,HYDROCORTISONE,AEROSEB-HC,7
123,DEXAMETHASONE,DECASPRAY,19
124,BACITRACIN ZINC; POLYMYXIN B SULFATE,POLYSPORIN,3
125,PIPERONYL BUTOXIDE; PYRETHRINS,RID MOUSSE,19
126,HEXACHLOROPHENE,SEPTISOL,15
127,HEXACHLOROPHENE,TURGEX,14
128,NONOXYNOL-9,DELFEN,25
129,CHOLESTYRAMINE,CHOLYBAR,12
131,COLESEVELAM HYDROCHLORIDE,WELCHOL,7
132,AMOXICILLIN; CLARITHROMYCIN; LANSOPRAZOLE,"LANSOPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN",16
135,AMOXICILLIN; CLARITHROMYCIN; LANSOPRAZOLE,PREVPAC,10
136,DOXYCYCLINE HYCLATE,DOXYCYCLINE HYCLATE,30
137,LANSOPRAZOLE; NAPROXEN,PREVACID NAPRAPAC 250 (COPACKAGED),1
138,LANSOPRAZOLE; NAPROXEN,PREVACID NAPRAPAC 375 (COPACKAGED),7
139,LANSOPRAZOLE; NAPROXEN,PREVACID NAPRAPAC 500 (COPACKAGED),25
140,DULOXETINE HYDROCHLORIDE,CYMBALTA,24
143,DIVALPROEX SODIUM,DEPAKOTE,23
144,DIDANOSINE,DIDANOSINE,29
155,DIVALPROEX SODIUM,DIVALPROEX SODIUM,20
159,DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,14
228,ERYTHROMYCIN,ERYC,24
232,ERYTHROMYCIN,ERYC 125,23
233,ERYTHROMYCIN,ERYC SPRINKLES,23
234,ERYTHROMYCIN,ERYTHROMYCIN,17
236,ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,21
262,FLUOXETINE HYDROCHLORIDE,FLUOXETINE HYDROCHLORIDE,2
264,LANSOPRAZOLE,LANSOPRAZOLE,18
300,ESOMEPRAZOLE MAGNESIUM,NEXIUM,27
302,OMEPRAZOLE,OMEPRAZOLE,15
346,LANSOPRAZOLE,PREVACID,14
348,LANSOPRAZOLE,PREVACID 24 HR,6
349,OMEPRAZOLE,PRILOSEC,2
352,FLUOXETINE HYDROCHLORIDE,PROZAC WEEKLY,23
353,DIDANOSINE,VIDEX EC,21
357,RABEPRAZOLE SODIUM,ACIPHEX SPRINKLE,13
359,MESALAMINE,DELZICOL,24
360,DEXLANSOPRAZOLE,DEXILANT,12
362,DEXLANSOPRAZOLE,DEXLANSOPRAZOLE,3
363,DOXYCYCLINE HYCLATE,DORYX,30
368,DULOXETINE HYDROCHLORIDE,DRIZALMA SPRINKLE,22
377,ESOMEPRAZOLE STRONTIUM,ESOMEPRAZOLE STRONTIUM,9
379,CHOLINE FENOFIBRATE,FENOFIBRIC ACID,19
397,MESALAMINE,MESALAMINE,20
398,ESOMEPRAZOLE MAGNESIUM,NEXIUM 24HR,26
399,OMEPRAZOLE MAGNESIUM,OMEPRAZOLE MAGNESIUM,22
401,CYSTEAMINE BITARTRATE,PROCYSBI,13
403,VALPROIC ACID,STAVZOR,22
406,AMOXICILLIN; OMEPRAZOLE MAGNESIUM; RIFABUTIN,TALICIA,19
407,DIMETHYL FUMARATE,TECFIDERA,4
409,CHOLINE FENOFIBRATE,TRILIPIX,28
411,DIROXIMEL FUMARATE,VUMERITY,29
412,ACETAZOLAMIDE,ACETAZOLAMIDE,4
420,PSEUDOEPHEDRINE HYDROCHLORIDE; TRIPROLIDINE HYDROCHLORIDE,ACTIFED,27
421,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,ADDERALL XR 10,5
422,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,ADDERALL XR 15,1
423,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,ADDERALL XR 20,3
424,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,ADDERALL XR 25,16
425,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,ADDERALL XR 30,3
426,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,ADDERALL XR 5,30
427,METHYLPHENIDATE HYDROCHLORIDE,ADHANSIA XR,3
433,THEOPHYLLINE,AEROLATE III,16
434,THEOPHYLLINE,AEROLATE JR,3
435,THEOPHYLLINE,AEROLATE SR,19
436,ASPIRIN; DIPYRIDAMOLE,AGGRENOX,6
437,CYCLOBENZAPRINE HYDROCHLORIDE,AMRIX,11
439,MESALAMINE,APRISO,4
440,METHYLPHENIDATE HYDROCHLORIDE,APTENSIO XR,18
447,TRIHEXYPHENIDYL HYDROCHLORIDE,ARTANE,20
449,ASPIRIN; DIPYRIDAMOLE,ASPIRIN AND DIPYRIDAMOLE,10
459,TACROLIMUS,ASTAGRAF XL,23
462,MORPHINE SULFATE,AVINZA,23
468,AMPHETAMINE RESIN COMPLEX; DEXTROAMPHETAMINE RESIN COMPLEX,BIPHETAMINE 12.5,1
469,AMPHETAMINE RESIN COMPLEX; DEXTROAMPHETAMINE RESIN COMPLEX,BIPHETAMINE 20,2
470,AMPHETAMINE RESIN COMPLEX; DEXTROAMPHETAMINE RESIN COMPLEX,BIPHETAMINE 7.5,28
471,PHENDIMETRAZINE TARTRATE,BONTRIL,22
472,CARBAMAZEPINE,CARBAMAZEPINE,19
484,CARBAMAZEPINE,CARBATROL,3
487,NICARDIPINE HYDROCHLORIDE,CARDENE SR,10
490,DILTIAZEM HYDROCHLORIDE,CARDIZEM CD,10
495,DILTIAZEM HYDROCHLORIDE,CARDIZEM SR,26
499,DILTIAZEM HYDROCHLORIDE,CARTIA XT,6
503,CARVEDILOL PHOSPHATE,CARVEDILOL PHOSPHATE,6
511,CHLORPHENIRAMINE MALEATE,CHLORPHENIRAMINE MALEATE,10
512,CHLORPHENIRAMINE MALEATE; PSEUDOEPHEDRINE HYDROCHLORIDE,CODIMAL-L.A. 12,18
513,CHLORPHENIRAMINE MALEATE; PHENYLPROPANOLAMINE HYDROCHLORIDE,COLD CAPSULE IV,21
514,CHLORPHENIRAMINE MALEATE; PHENYLPROPANOLAMINE HYDROCHLORIDE,COLD CAPSULE V,3
515,PROCHLORPERAZINE MALEATE,COMPAZINE,25
521,TRAMADOL HYDROCHLORIDE,CONZIP,3
525,CARVEDILOL PHOSPHATE,COREG CR,18
529,CYCLOBENZAPRINE HYDROCHLORIDE,CYCLOBENZAPRINE HYDROCHLORIDE,11
533,TOLTERODINE TARTRATE,DETROL LA,13
535,DEXTROAMPHETAMINE SULFATE,DEXEDRINE,1
538,DEXMETHYLPHENIDATE HYDROCHLORIDE,DEXMETHYLPHENIDATE HYDROCHLORIDE,18
577,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,"DEXTROAMP SACCHARATE, AMP ASPARTATE, DEXTROAMP SULFATE AND AMP SULFATE",12
637,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,"DEXTROAMP SACCHARATE,AMP ASPARTATE,DEXTROAMP SULFATE AND AMP SULFATE",4
643,DEXTROAMPHETAMINE SULFATE,DEXTROAMPHETAMINE SULFATE,11
667,ACETAZOLAMIDE,DIAMOX,9
668,DILTIAZEM HYDROCHLORIDE,DILACOR XR,1
671,ISOSORBIDE DINITRATE,DILATRATE-SR,12
672,DILTIAZEM HYDROCHLORIDE,DILT-CD,28
676,DILTIAZEM HYDROCHLORIDE,DILTIAZEM HYDROCHLORIDE,25
758,DILTIAZEM HYDROCHLORIDE,DILTZAC,26
763,DISOPYRAMIDE PHOSPHATE,DISOPYRAMIDE PHOSPHATE,18
764,ASPIRIN,DURLAZA,6
765,VENLAFAXINE HYDROCHLORIDE,EFFEXOR XR,22
769,THEOPHYLLINE,ELIXOPHYLLIN SR,4
771,MORPHINE SULFATE; NALTREXONE HYDROCHLORIDE,EMBEDA,28
777,CARBAMAZEPINE,EQUETRO,28
780,LEVOMILNACIPRAN HYDROCHLORIDE,FETZIMA,6
784,FLUVOXAMINE MALEATE,FLUVOXAMINE MALEATE,11
790,DEXMETHYLPHENIDATE HYDROCHLORIDE,FOCALIN XR,6
798,GALANTAMINE HYDROBROMIDE,GALANTAMINE HYDROBROMIDE,11
816,AMANTADINE HYDROCHLORIDE,GOCOVRI,14
818,DIPHENYLPYRALINE HYDROCHLORIDE,HISPRIL,26
819,HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE,20
825,PROPRANOLOL HYDROCHLORIDE,INDERAL LA,1
829,HYDROCHLOROTHIAZIDE; PROPRANOLOL HYDROCHLORIDE,INDERIDE LA 120/50,15
830,HYDROCHLOROTHIAZIDE; PROPRANOLOL HYDROCHLORIDE,INDERIDE LA 160/50,15
831,HYDROCHLOROTHIAZIDE; PROPRANOLOL HYDROCHLORIDE,INDERIDE LA 80/50,9
832,INDOMETHACIN,INDOCIN SR,21
833,INDOMETHACIN,INDOMETHACIN,29
847,PROPRANOLOL HYDROCHLORIDE,INNOPRAN XL,17
849,PHENTERMINE RESIN COMPLEX,IONAMIN,1
851,CHLORPHENIRAMINE MALEATE; PSEUDOEPHEDRINE HYDROCHLORIDE,ISOCLOR,7
852,ISOSORBIDE DINITRATE,ISORDIL,17
853,METHYLPHENIDATE HYDROCHLORIDE,JORNAY PM,25
858,POTASSIUM CHLORIDE,K-LEASE,25
860,MORPHINE SULFATE,KADIAN,4
872,METOPROLOL SUCCINATE,KAPSPARGO SPRINKLE,16
